,Texto,sentimiento
0,"te ganaras la vacuna con el sudor de tu frente*bajo una logica cruel e inhumana, la empresa rappi colombia desafio a sus “colaboradores” para que compitan por una vacuna contra la covid",Negativo
1,"""ademas, al momento, constato que solo fallecieron el 0,0005% de las personas que recibieron una dosis y no se han registrado personas fallecidas entre aquellas vacunadas con dos dosis de vacuna""",Negativo
2,despues de la vacuna contra covid aconsejan no beber alcohol nocierto en tucuman city te regalan una cerveza si te vacunas  me estan jodiendo,Negativo
3,que el mundo sepa quienes son uds lacrasser funcionario te protege mas  contra el covid que una vacuna,Positivo
4,ser funcionario te protege mas  contra el covid que una vacuna miravo,Positivo
5,"si les interesa saber sobre las vacunas cubanas, aqui un articulo",Negativo
6,hoy es un muy pero muy hermoso dia 😀😀🥳🥳😊😊: mi papa oficialmente recibio la 2da dosis de la vacuna de reino unido 🇬🇧 contra la covid 19: oxford - aztrazeneca muchisimas gracias al personal medico del hospital lamadrid de mi querida ciudad de monteros 🇦🇷 👏👏😀😀,Positivo
7,"te lo resumo: ""ellos"" no son zannini y su vacuna vip, lopecito con sus bolsos, lazaro baez y sus sobreprecios en obra, gines de los 94 mil muertos covid de paseo por madrid y sigue la lista se entiende",Positivo
8,"llegue a la primer dosis de vacuna sin haberme hisopado y sin haber tenido covid, que bonito mi sistema inmunologico  🥰",Negativo
9,_lab   eso no era por covid o vacuna  ya me perdi 😷,Negativo
10,37706694      va una noticia al respecto 37706694,Negativo
11,"con mucha emocion y alegria hoy recibi mi primer dosis de la vacuna contra el covid para mi la vacuna es futuro, es esperanza de poder volver a abrazarnos, retomar nuestra vida quiero agradecer y felicitar a todo el personal de salud por la gran labor y el hermoso trato",Positivo
12,hoy llegaron muchisimos sms para confirmar turno por vacuna covid que no permite la confirmacion los telefonos que brindan no atienden que hacemos en este caso  12a14,Positivo
13,"ya vacunado contra el covid-19 gracias a los cientificos 🇨🇳 que hicieron la vacuna 🇦🇷💪😎 en pirane, formosa, argentina",Positivo
14,si todos vienen de vacunarse tenes mas chances hoy de contagiarte covid en nuestro pais que en cualquier otro vacunencuanto odio y resentimiento tienen con el que puede viajarcuanto odio a todo que mas queres es gente q no va a usar una vacuna aca done escacean,Negativo
15,quiero confirmar que los efectos secundarios de la vacuna que me di ayer son mas fuertes que los sintomas de covid que tuve cuando estaba enfermo posta,Negativo
16,que mierda la vacuna de covid ni mierdas me la voy a poner y eso q soy paciente de riesgo,Negativo
17,"🔺🔻recordamos que ni el gobierno de la nacion argentina ni  cobran aporte alguno por inoculacion de la vacuna del covid-19🔺🔻es de aplicacion gratuita en todo el territorio nacional y provincial🔺🔻no solicita  claves, contrasenas bancarias ni personales ⬇️",Negativo
18,"tanto amor no cabe en una imagen, o si vacuna vaccinationdone✔️ vacunate covid_19 love buenosairesargentina en ciudad autonoma de buenos aires",Negativo
19,un nuevo vuelo llego esta noche con  709085 dosis de la vacuna sputnik del componente 1 y 2  contra el covid nuestro gobierno sigue reforzando el plan de vacunacion que se desarrolla en todo el pais y cuidarnos hace el resto para combatir el virus,Negativo
20,dicen que la vacuna de covid es segura durante el embarazo yo tengo mis dudas 🤔,Positivo
21,"recibi la vacuna contra covid_19  y no te debo nada  porque si estudiaste leyes, sabras que trabajas para el ciudadano y con la plata de mis impuestos obtuve lo que me correspondia ahora",Negativo
22,y llego el dia esperado vacuna contra el covid_19 en la  exelente atencion y muy rapido gracias a todos los que lo hacen posible y al personal del  usina del arte  salud bsas argentina🇦🇷,Positivo
23,"felicitaciones, es el mejor programa de tv de salud pueden volver a explicar que son los anticuerpos, clases que se obtienen despues de aplicar la vacuna covid y como se sabe que el cuerpo genero anticuerpos gracias por su respuesta",Positivo
24,🙌💻 💉🏠 ayudamos a inscribir a los vecin barrio por barrio para la vacuna covid y ahora repartimos los turnos de las segundas dosis casa por casa seguimos haciendolo entre tod nos vemos en villaallende,Negativo
25,homenaje a la cientifica que  diseno la vacuna oxford contra el covid 19 en wimbledon 👍👌👏🤗,Negativo
26,vacunacion covid caba: cuales seran los plazos en los que aplicaran las segundas dosis | via,Negativo
27,"[prejuicios] aunque no se pueda creer, todavia hay gente que no quiere aplicarse la vacuna anti covid_19 por prejuicios entre las ""variadas"" excusas que ponen, algunos dicen que es ""una maniobra politica"" 😳 creer o reventar",Negativo
28,que felicidad me da saber que pronto voy a recibir la vacuna para el covid 🤩🥳,Positivo
29,"nos mueve la emocion y la alegria de nuestra comunidad al recibir su vacuna contra el covid-19 💉en moron, mas de la mitad de las y los vecinos ya cuenta con, al menos, su primera dosis👏🏽sigamos poniendo el hombro 💪🏽🇦🇷cada vez mas cerca de disfrutar lo que mas queremos",Positivo
30,"que felicidad 😍vacuna contra el covid disponible para nosotros, los de 25 a 30 anos a partir de la medianoche 💪💪",Positivo
31,hoy mi viejito recibio la 1 dosis de la vacuna contra el covid♥️,Negativo
32,con 42 anos me empadrone y hoy me toco vacunarme con la primera dosis de la vacuna contra el covid-19 en el clubitaliano en caballito en club italiano,Positivo
33,"nos toca 🤩😍 se encuentran abiertas las inscripciones para recibir la vacuna contra el covid-19 🙌🏻 ingresa a la pagina del ministerio de salud de nuestra provincia y apreta donde dice ""registro de voluntad vacuna covid-19 "" e inscribite 👉🏼",Negativo
34,"la vacuna no te inmunizaba contra el covid, solamente te aliviana los sintomas saludos",Positivo
35,mariano cardarelli tuve covid y gracias a una dosis de sinopham la pase no tan mal aguante la vacuna china jaja,Positivo
36,"25085324  _me   ay que alegria que apsreciste sanguijuela imbecil crees que estas hablando con una burra como vos no, lpqtpsinopharm ponesela a tu hija/o para que el covid se muera risa kk no te atrevas con mis muertos vacunados con sinopharm y/o con 1 dosis de sputnikasesin krapulas",Negativo
37,"si pau, aca haciendole ole al covid hasta que me llegue la vacuna pero todo muy bien vos",Positivo
38,"no es extrano que estemos rondando los 100 mil muertos y que nadie del gobierno haya sido victima del covid, esto prueba que la vacuna es eficiente porque ellos se vacunaron todos con las dos dosis (creo que con la pfizer no perdon si me equivoco",Negativo
39,"hoy me toco recibir la primera dosis de la vacuna contra el covid por ser +40 elegi hacerlo, esta tarde, en boca a todo el personal que trabaja alli, mil gracias por la atencion",Positivo
40,⚠️ importanteciudadplan de vacunacion covid-19 para personas mayores de 40 anos👉  formulario de empadronamiento para la aplicacion de la primera dosis de la vacuna contra el covid-19 de personas de mas de 40 anos👉,Positivo
41,"hoy me llego la vacuna contra el covid-19 💉 agradezco a todo el personal de salud de laboulaye por la excelente atencion 💪🏻👩🏼‍⚕️👨🏻‍⚕️🏥 vacunado covid19 laboulaye  laboulaye, cordoba",Positivo
42,🇦🇷 ministerio de saludllegan hoy y manana mas de un millon de vacunas a todo el pais y el total de dosis distribuidas se acerca a los 25 millones se interiorizo sobre los avances de una vacuna nacional contra la covid-19,Negativo
43,"2 buenas tardes, me podria explicar, porque a mi madre de 90 anos vacunada en lujan de cuyo el 9 de marzo, contra el covid, con la vacuna rusa, todavia no tiene su segunda dosisy se de personas que se vacunaron en dias posteriores ya las vacunaronhilo",Negativo
44,"bueno, finalmente me anote para la vacuna contra el covid en caba porque estoy amamantando subire una foto recibiendo la vacuna obvio",Negativo
45,ahora mas que nunca quiero que me llegue la vacuna del covid,Negativo
46,"yo no se ustedes pero yo tengo una amiga que conozco desde los 2 anos o menos y hacemos literalmente todo juntas, jardin, primaria, secundaria siempre yendo al mismo aula, comunion, irnos a capital, vacuna del covid porque nos dieron turno juntas, soy fan de esta amistad",Negativo
47,"listo  primera dosis, un paso menos 🏳️‍🌈🇦🇷✌primeradosis vacuna covid_19 en villa tesei partido de hurlinghan",Positivo
48,"cristina no aparecio en el desalmado acto por los muertos de  covid si, la que hizo el negociado con putin para comprar una vacuna sospechosa de la cual no hay segundas dosis disponibles estuvo kicillof, que carga con la mitad de los muertos en la provincia mas rica del pais",Negativo
49,esto es igual que twittear la foto de carnet de la aplicacion de la vacuna covid,Negativo
50,mas de 500000 personas vacunados contra el covid-19 en salta ♥️👏🏻cada vacuna aplicada nos llena de esperanza y nos acerca un poco mas hacia la normalidad que tanto queremos,Positivo
51,saben que vacuna covid-19 estan dando en la usina del arte,Negativo
52,el viejo se puso la vacuna de covid y brinde por el (,Negativo
53,"ella es mariela, tenia  47 anos un hijo de 15, esposo, madre, hermanos, sobrinos y mucha gente que la queria para los fernandez, vissotti y todo el gobierno es solo un numero mas de los casi 93 mil muertos por covid_19, no tuvo su vacuna a pesar de ser paciente de riesgo",Negativo
54,"sus lagrimas eran las de un cocodrilo no haga campana politica con los muertos por covid  , tendria que haber evitado llegar a esa cifra, no tiene cara ud despues de los vacunados vip, de la vacuna pfizer, de la sputnikv (2da dosis, y de la cantidad de fallecidos",Negativo
55,"que circo armaron en el cck ipocritas, poniendo cara de compunjido, homenajeando a los muertos por covid verguenza tendria que darles, caras de vigornia, con vacuna se cuida al pueblo y con 2 dosis no con el verso de 1 dosis pedazo de mierdas cadenanacional",Negativo
56,"mi viejo se puso hoy la vacuna de covid, y hacen asado que corajudo si no puede escabiar",Negativo
57,"hoy 430 hs en el frio despertar el no pudo y partio, jose luis mi amigo, el covid pudo mas que la vacuna y sin segunda dosis peorlo siento amigo mio 🙏💔",Negativo
58,"estoy falleciendo a causa de la vacuna, si esto se siente tener covid entonces no lo quiero",Negativo
59,"recien ayer me vacuneun minuto antes pregunte que vacuna me ponian   - covishieldy en una traduccion al ingles perfecta de nosotros los de los '80,dije "" escudo al covid "" genial no fue google eh, fue camouflage con love is a shield",Positivo
60,"el post vacuna covid me estaria dando una hermosa cagada a palos, sumale las casi 37 semanas de embarazo a todo eso un combo divino 🤦‍♀️",Positivo
61,"el ministro de economia martin guzman y su bailarina, vera voskanyan, de 32 anos, recibieron la 2da dosis de la vacuna contra el covid-19, el 30 de marzo92317 m u e r t o sserobaronlasvacunas 27jrepudiototal",Negativo
62,el dolor de hombro q tengo con la vacuna contra el covid me hace acordar a cuando me pusieron la bcg,Negativo
63,por favor  mi madre hace ya mas de 3 meses de la primer dosis de la vacuna contra el covid- tiene 86 anos y aun sin turno,Negativo
64,"""la decision es la virtud mas responsable sobre uno mismo""~vacuna contra el covid_19 sarscov2sinopharm💉~vacunados hoy 1079 centenariohospitalnatalioburd~aclaro- vi luz y pase",Positivo
65,acompanamos la jornada con una posta de asesoramiento e inscripcion para recibir la vacuna contra el covid y una posta de pami respondiendo consultas de afiliados y afiliadas del organismoestadopresente,Negativo
66,hoy me mandaron mensaje para el ensayo de una vacuna que me habia anotado como voluntaria no tenia que tener vacuna dada ni covid como ya tengo una sputnik no pudo ser,Negativo
67,con mucha alegria recibi hoy la primera dosis de la vacuna sinopharm contra el covid 19 💉gracias a los voluntarios y al personal de salud por el gran trabajo y enorne esfuezo que vienen realizando 👏👏felicitaciones por la excelente organizacion vacunado 💪,Positivo
68,"algun medico en la sala, que me pueda pasar un paper avalado por la comunidad cientifica internacional de efectividad de vacuna contra covid",Negativo
69,deja de mentir,Negativo
70,"deberia haber un premio para los que llegamos a la vacuna libres de covid, cero hisopado y encima, sin sintomas post vacuname siento highlander",Negativo
71,felicitaciones companera me llena el corazon de alegria ver que ya recibiste la vacuna contra el covid-19 abrazos enormes desde 9 de abril esteban echeverria,Positivo
72,"llego el turno de la vacuna para mica, mi justi a a tener los anticuerpos del covid-19 ✌",Negativo
73,"vacunacion libre para mayores de 50 y embarazadas 🙌a partir de manana, embarazadas (de 18 anos de edad en adelante y mayores de 50 anos solo tienen que acercarse a cualquier vacunatorio de la ciudad para recibir la primera dosis de la vacuna contra el covid-19",Positivo
74,"sepan que con las compras que ya hizo el estado, todos los argentinos y argentinas ya tienen garantizada su vacuna contra el covid ❤️🇦🇷",Negativo
75,noruega dice que el riesgo de morir a causa de la vacuna astrazeneca es mayor que el de covid-19  via,Negativo
76,continua la campana de vacunacion en san andres de giles 💉✅ 10607 vecinos recibieron su primera dosis de la vacuna contra el covid-19✅ 69% es el porcentaje de vacunados sobre inscriptos en san andres de giles➡️ 15437 son los gilenses inscriptos hasta el momento,Positivo
77,"escuchame pedazo de💩 hputa  sabes algo,si tanto te molesta la vacuna, hubieses estado en el lugar de mi cunado,sabes,q se murio el sabado de covid y a la otra semana le llego el turno, y vos hdputa te haces el canchero,todos lo q piensan asi merecen mas q mi cunado 💩",Negativo
78,"sigue avanzando la campana de vacunacion en la provincia☀️en la provincia de buenos aires, embarazadas y mayores de 50 anos pueden acercarse sin turno al vacunatorio mas cercano para recibir la primera dosis de la vacuna contra el covid-19👏🏻",Negativo
79,"otro paso esencial en la campana de vacunacion desde manana, vacuna libre para embarazadas sin turno, podran ir al vacunatorio y acceder a la vacuna contra el covid-19",Positivo
80,"10__alejandra listo, ahora estas para todas las barranis covid + vacuna= impunidad",Positivo
81,"recorda que vacunarse ayuda a disminuir la propagacion del covid-19 si ya recibiste la vacuna, es importante que continues implementando todas las medidas de prevencion cuidemonos entre todos y todas😷❤",Positivo
82,"14 jubilados murieron de covid en mendoza por no estar vacunados, fue en un geriatrico msj para      y toda la caterva de zoretes q le hacen caer la moral a la gente, q la vacuna es veneno y demas ahi tienen la consecuencia",Negativo
83,"atencion ⚠️📣vacuna libre para mayores de 50‼️ a partir de manana, todos los mayores de 50 anos que todavia no se hayan dado la primera dosis de la vacuna contra el covid, pueden ir a vacunarse sin turno mostrando dni que acredite domicilio en provincia de buenos aires  ❤️💉",Positivo
84,che  cabeza  de temo cantale a familia  de los muertos  por  covid  idiota  enferma  metal   canta  para  que los idiotas  traigan  vacuna  y por  los pobres   que genero  tu  gobierno  de orto   cuanta  estupida  suelta,Negativo
85,"atenciona partir de manana, todos los mayores de 50 anos que todavia no se hayan dado la primera dosis de la vacuna contra el covid, pueden ir a vacunarse sin turno mostrando dni que acredite domicilio en provincia de buenos airesvacunatepba 💉",Negativo
86,💉estamos recorriendo el barrio san martin casa por casa para la inscripcion de vacuna covid 💉🚶junto a un gran equipo de concejales y referentas barriales para que la vacuna le llegue a todos los vecinos 🏡gran iniciativa de,Negativo
87,"‼️vacuna libre para mayores de 50‼️👉🏻a partir de manana, todos los mayores de 50 anos que todavia no se hayan dado la primera dosis de la vacuna contra el covid, pueden ir a vacunarse sin turno mostrando dni que acredite domicilio en provincia de buenos airesvacunatepba 💉",Positivo
88,"importante vacuna libre para mayores de 50a partir de manana, todos los mayores de 50 anos que todavia no se hayan dado la primera dosis de la vacuna contra el covid, pueden ir a vacunarse sin turno mostrando dni que acredite domicilio en provincia de buenos airesvacunatepba",Positivo
89,me anote como voluntario para la vacuna del covid y en dos semanas empiezo los estudios chetooo salio esa tal mutacion,Negativo
90,"a partir de manana, todos los mayores de 50 anos que todavia no se hayan dado la primera dosis de la vacuna contra el covid, pueden ir a vacunarse sin turno mostrando dni que acredite domicilio en provincia de buenos aires",Negativo
91,"📋formulario de empadronamiento para la aplicacion de la primera dosis de la vacuna contra el covid-19 para personas con condiciones de riesgo, personas gestantes y en periodo de lactancia mayores de 18 anos👉  gcba",Negativo
92,"los booster no vencen lo que explicaria el mal dicho de ""las vacunas no se vencen""3 la oms establecio que 60% de acpos son aceptables para covid dependiendo de la vacuna esto se logra con 1 o 2 dosispero inevitabile los acpos descenderan con el tiempo, por lo que es nec",Positivo
93,"en rusia la gente no es muy propensa a la vacuna, el gobierno obliga a vacunarse para poder entrar a bares y restaurantes",Negativo
94,"1 me la di el martes a 22 dias de alta de covid 24 hs de fiebre, tractorazo en todo el cuerpo, dolor en el lugar del pinchazo con esta vacuna conozco una sola persona q no tuvo efectos de nada el resto, minimamente fiebre",Negativo
95,"me envian mail para solicitar un turno para la vacuna covid y no hay lugar en ningun lado de la lista, es una cargada ademas de que todos son en la otra punta donde vivo",Negativo
96,"tenemos que ser claros, porque la ciudadania no necesita mas preocupacion la proteccion que te brinda la vacuna contra covid-19 no vencerecorda que podes consultar 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝗰𝗶𝗼𝗻 𝗼𝗳𝗶𝗰𝗶𝗮𝗹 en",Negativo
97,"la proteccion que brinda la vacuna contra el covid-19 no vencesi tenes dudas, consulta siempre informacion oficial en",Positivo
98,en la plaza de maipu junto a los concejales  y  informamos el proceso de inscripcion para la vacuna 💉 contra el covid-19⚠️ abrio la inscripcion para personas mayores de 35 sin enfermedades preexistentes,Negativo
99,"86814888 que te vacunes la podes pasar mal si te agarras covid a mi la vacuna me provoco algun efecto, no quiero ni imaginar lo q debe ser la enfermedad",Negativo
100,"listo, ya puse mi granito de arena en la lucha contra el oscurantismo me acaban de poner la vacuna sinopharm contra el covid-19 y todo bien",Positivo
101,"ha habido mas de 1200 casos de miocarditis o pericarditis en jovenes de 16 a 24 anos que recibieron una vacuna de arnm covid, segun datos de los cdc",Positivo
102,"💉hoy en el sindicato del plastico recibi mi primera dosis de la vacuna contra el covid-19, correspondiente al grupo de mayores de 40 anos sin patologias previas  (abro hilo👇🏼",Negativo
103,"49365255 2 1  2 que se esta haciendo en este momento, probar q pasa si un infectado de covid se vacuna, alcanza con una dosis eso esta haciendo el gobierno, usando a la gente de conejitos de la india para hacer los testeos q debio informar a quienes se les aplica la dosis, basicamente la 🇦🇷",Negativo
104,"que dificil es seguir admirando a un artista, cuando siendo muy popular ( kike teruel de los nocheros , pone en duda la vacuna contra el covid navarro2023",Negativo
105,"senores padres si su hijo/a tiene gripe, tos o algun sintoma compatible con covid, no lo/a mande a la escuela tengo companeros/as docentes en grave estado xq se han contagiado, a pesar de estar con una dosis de vacuna la responsabilidad de no contagiar es de todos",Negativo
106,"ya somos bastante parecidos a ratones de laboratorio con esta cuestion del covid, ahora  y  quieren probar con los que fuimos vacunados con la sputnik v a ver si funciona una segunda dosis de otra vacuna conmigo no cuenten me vacunaron el 12/04",Negativo
107,"cayeron las acciones de moderna , pfizer y biontech reportan mas de 1200 casos de problemas cardiacos tras vacuna covid",Negativo
108,"cayeron las acciones de moderna, pfizer y biontrchreportan mas de 1200 casos de problemas cardiacos tras vacuna covid",Negativo
109,presidente de la nacion: vacuna covid para menores con discapacidad      - sign the petition  via,Negativo
110,del brazo derecho tengo un desgarro y del izquierdo me dieron la vacuna del covid  dios mio estoy haciendo malabares para poder moverlos y hacer las cosas 😭,Negativo
111,"hacemosquilmes identidadquilmena walterdigiuseppe2021sr presidente , ud no tiene derecho a enojarse  ni utilizar la pandemia para hacer politica la gente esta angustiada por la segunda dosis de la vacuna en el mundo ya se habla de la tercera ola de covid ",Negativo
112,"hace dias me anote como voluntario para el estudio de una nueva vacuna canadiense contra el covid en la clinica mayo hoy recibi mi primera dosis y estoy feliz, no solo por la posibilidad de inmunizacion, sino xq es un granito de arena a este gran avance para la ciencia tucumana",Negativo
113,2   igual la logica es ofrecer proteina s como generador de inmunidad para lo cual el vector y plataforma deberia ser lo mismo la logica seria brindar 2da dosis para generar ac anti proteina s pero eso es teoria nadie lo probo aun en vacuna anti covid,Negativo
114,➡️ como cada semana promotorxs de salud recorren la ciudad:⁣⁣✔️ entregando barbijos en paradas de colectivo⁣✔️ concientizando sobre los cuidados para evitar contagios⁣✔️ toma de temperatura✔️ registrando turnos para la vacuna del covid-19⁣⁣noscuidamosentretodxs,Positivo
115,"creo que no existe algo mas patetico que los k creyendose duenos de la vacuna contra el covid, ese nivel de apropiarse de lo ajeno solo ellos lo poseen",Negativo
116,"no es phizer ni astrazeneca con billones de presupuesto no es eeuu, rusia o china, con todo su poder no es cuba, una isla embargada y bloqueada por decadas celebrando el logro su propia vacuna anti covid 😢abdala 92% eficacia ✊🏽",Negativo
117,"_l_etc sieste mes entre covid,vacunaya tengo bastante",Negativo
118,"ayer levante 39 de fiebre, dolor de cabeza, cuerpo y dolor de brazovacuna del covid, esto es personal",Negativo
119,"re anti covid, re anti vacunavirus de mierda te llevaste lo mejor que pudo existir en mi vida, pero desde aca les agradezco la mano que se que del cielo me estan dando, porque no dudo que el cielo ya lo tenian ganado❤️❤️❤️🙁🙁🙁",Negativo
120,ya me anote para la vacuna contra el covid 🙏,Negativo
121,vacuna covid: el gobierno revelo que esta cerca de acordar con pfizer | via,Negativo
122,el  informo que comenzo la distribucion de 1115900 dosis de la vacuna astrazeneca corrientes recibira entre hoy manana: 27700 covid_19,Positivo
123,"la vacuna contra el covid-19 no afecta el conteo de espermatozoides, segun un nuevo estudio  via",Positivo
124,"el otro dia, una persona fallecio en la cancha de san lorenzo, luego de aplicarse la vacuna contra el coviden conclusion, salvo las personas mayores, hay que ir solos a vacunarse si la quedas ahi, no le haces pasar un mal momento, a ningun ser querido",Negativo
125,manana recibo la primer dosis de la vacuna contra covid 19 en la rural alguno de mis amigos en twitter se vacuno ahi cual recibieron me inquieta recibir la de astrazeneca 🤔alguna experiencia gracias por adelantado,Positivo
126,con mucha alegria recibi hoy la primera dosis de la vacuna astrazeneca contra el covid 19 💉gracias a todo el personal de salud por el gran trabajo y el enorme esfuerzo que vienen realizando 👏 sigamos cuidandonos y cuidando a los demas 💪,Positivo
127,"a mi me la dieron y antes hable con una doc y me dijo que los casos de trombo son pocos y estan en estudio precisamente para ver si estan asociados a la vacuna que incluso si asi fuera mas casos provoca el covid, fumar o viajar en avion y nadie deja de hacerlo",Negativo
128,"presente un proyecto solicitando al pen arbitre las medidas necesarias para la adquisicion de la vacuna contra el covid-19 producida por el laboratorio pfizer, para ser aplicada de manera prioritaria en ninos de 12 a 18 anos con comorbilidades",Negativo
129,hoy mi mami recibio su primera dosis de la vacuna contra el covid 19 🎊🎊,Positivo
130,todos con sus turnos para la vacuna contra el covid y yo me acabo de vacunar contra el tetanos y la disfteria *desaparece y deja un halo misterioso,Negativo
131,"🚨vacuna covid-19: por las nuevas variantes, ya se prueba una tercera dosis en reino unido y argentina estudia aplicarla",Negativo
132,"ya mis padres tienen su primera dosis de la vacuna, ahora solo espero que el gobierno sea diligente como debe y reciban su 2da dosis cuando correspondamientras, yo seguire esperando 🥲 lo menos que quisiera es que me de covid por 2da vez",Negativo
133,"hola buenas tardes, consulta, es contraproducente la vacuna covid respecto a la isquemia mio ardica silente a alta capacidad funcional",Positivo
134,cientificos informan que si no publicas la foto en instagram la vacuna contra el covid no hace efecto,Negativo
135,"el plan de vacunacion avanza en la ciudad a partir de hoy, las personas mayores de 40 anos ya pueden empadronarse para recibir la primera dosis de la vacuna contra el covid_19 💉toda la informacion la encuentran en ▶️",Negativo
136,depende no todos generan la misma cantidad de anticuerpos y la vacuna post covid hace efecto refuerzo generas mas anticuerpos entre 1 mes y 3 meses seria ideal porque a los 3 meses el nivel de anticuerpos post enfermedad ya es bajo,Negativo
137,"adulto sin factores de riesgo y sano (hasta donde yo se, que ya tuvo covid, vale la pena vacunarsepor ahora no me voy a anotar porque seguro alguien mas necesite de la vacuna y no le veo sentido a retroalimentar el miedo* que muchos medios inyectan en la sociedad",Negativo
138,42 pero quedo establecido asi porque cuando tenes covid tenes inmunidad 3 meses si luego teaplicas la vacuna tendriasotros 3 meses mas luego segunda dosis seria el esquema completo con mas defensas,Negativo
139,"buen dialas personas de 40 anos o mas,  ya pueden empadronarse para recibir la vacuna contra el coronavirus (covid 19 en caba:👇",Positivo
140,"cuba salva vidas historico vacuna cubana abdalaesvacuna muestra 92,28% de eficacia contra covid_19",Negativo
141,que opinarias de este video que se esta corriendo por muchos lados sobre la vacuna del covid 19👇,Positivo
142,nos dimos la vacuna contra el covid,Negativo
143,"hay que denunciar, revisen lo bloquee asi los vamos limpiando de twitter y felicitaciones por la notificacion de la vacuna, vamos ganando de a poco la batalla al covid",Positivo
144,81 estuve una semana con fiebre de 38/39 grados por covid una noche de fiebre o malestar por la vacuna vale la pena ☺️,Negativo
145,"ay ay, vizzotti  mientras tanto  llegamos a los 90000 muertos por covid  anuncia el retraso en la aplicacion de la segunda dosis y ademas dice la gran cientifica que tenemos como ministra dd salud: “ninguna vacuna vence”🙄",Negativo
146,"elocuente informe del grupo ""ciencia rosarina contra el coronavirus"", con datos del plan de vacunacion en santa fe la vacuna funciona y bajo la letalidad hasta un 500 por ciento si todavia no te anotaste, hacelo",Negativo
147,"no se recomienda porque se cae el curro de la vacuna yo me cure enseguida con la ivermectina  y muchos otros""no se recomienda el uso de la ivermectina en pacientes con covid-19, dicen instituciones y especialistas""",Negativo
148,"a ver soy pro vacuna pero este doctor en cierto modo tiene razon el 2018 que no habia covid murieron en la argentina 338562entonces la pregunta, es como identificamos si hubo crecimiento de muertes si no hay cifras totales de muertos en argentina🇦🇷voy a investigar",Negativo
