Seguidores_autor,Tweets_autor,Texto,Fecha,Retweets,Respuestas,Likes,Cant_citas,Fuente,Hora,Mes,Long_Texto
148,2497,"Te ganarás la vacuna con el sudor de tu frente*Bajo una lógica cruel e inhumana, la empresa Rappi Colombia desafió a sus “colaboradores” para que compitan por una vacuna contra la covid.",2021-06-30,0,0,1,0,Twitter for Android, 23hs,Junio,186
48,1393,"""Además, al momento, constató que sólo fallecieron el 0,0005% de las personas que recibieron una dosis y no se han registrado personas fallecidas entre aquellas vacunadas con dos dosis de vacuna.""",2021-06-30,1,1,5,0,Twitter for Android, 23hs,Junio,196
5027,36925,Después de la vacuna contra covid aconsejan no beber alcohol nocierto. En Tucuman city te regalan una cerveza si te vacunas .... me están jodiendo,2021-06-30,1,0,1,0,Twitter for Android, 23hs,Junio,146
4167,70406,QUE EL MUNDO SEPA QUIENES SON UDS. LACRASSer funcionario te protege más  contra el COVID que una vacuna?,2021-06-30,0,0,0,0,Twitter for Android, 22hs,Junio,104
4744,64684,Ser funcionario te protege más  contra el COVID que una vacuna? Miravó,2021-06-30,0,1,2,0,Twitter for Android, 22hs,Junio,70
11329,85151,"Si les interesa saber sobre las vacunas cubanas, aquí un artículo.",2021-06-30,0,0,0,0,Twitter for Android, 21hs,Junio,66
111,3317,Hoy Es Un Muy Pero Muy Hermoso Dia 😀😀🥳🥳😊😊: Mi Papa Oficialmente Recibio La 2da Dosis De La Vacuna De Reino Unido 🇬🇧 Contra La Covid 19: Oxford - AztraZeneca. Muchisimas Gracias Al Personal Medico Del Hospital Lamadrid De Mi Querida Ciudad De Monteros 🇦🇷 👏👏😀😀.,2021-06-30,0,0,1,0,Twitter for Android, 19hs,Junio,259
360,28626,"Te lo resumo: ""ellos"" no son Zannini y su vacuna Vip, Lopecito con sus bolsos, Lázaro Baez y sus sobreprecios en obra, Ginés de los 94 mil muertos Covid de paseo por Madrid y sigue la lista. ¿Se entiende?.",2021-06-30,0,0,0,0,Twitter for Android, 17hs,Junio,205
505,4852,"Llegué a la primer dosis de vacuna sin haberme hisopado y sin haber tenido covid, que bonito mi sistema inmunológico  🥰",2021-06-30,3,1,16,1,Twitter for Android, 17hs,Junio,119
136,17996,_lab   Eso no era por covid o vacuna ? Ya me perdí ..😷,2021-06-30,0,0,0,0,Twitter for Android, 17hs,Junio,54
446,9632,37706694      Va una noticia al respecto 37706694,2021-06-30,0,1,0,0,Twitter for Android, 17hs,Junio,49
731,3815,"Con mucha emoción y alegría hoy recibí mi primer dosis de la vacuna contra el Covid. Para mi la vacuna es futuro, es esperanza de poder volver a abrazarnos, retomar nuestra vida. Quiero agradecer y felicitar a todo el personal de salud por la gran labor y el hermoso trato.",2021-06-30,0,0,4,0,Twitter for Android, 16hs,Junio,273
350,11247,Hoy llegaron muchísimos SMS para confirmar turno por vacuna covid que no permite la confirmación. Los teléfonos que brindan no atienden. Qué hacemos en éste caso?  12a14,2021-06-30,1,1,0,0,Twitter for Android, 16hs,Junio,169
85,259,"Ya vacunado contra el covid-19 gracias a los cientificos 🇨🇳 que hicieron la vacuna 🇦🇷💪😎 en Pirané, Formosa, Argentina",2021-06-30,0,0,0,0,Instagram, 11hs,Junio,117
221,9452,Si todos vienen de vacunarse!! Tenes mas chances hoy de contagiarte covid en nuestro pais que en cualquier otro. Vacunen!!Cuanto odio y resentimiento tienen con el que puede viajar!!cuanto odio a todo!! Que mas queres? Es gente q no va a usar una vacuna aca done escacean...,2021-06-30,0,1,0,0,Twitter for Android, 11hs,Junio,274
396,16967,Quiero confirmar que los efectos secundarios de la vacuna que me di ayer son más fuertes que los síntomas de covid que tuve cuando estaba enfermo posta.,2021-06-30,0,1,2,0,Twitter for Android, 11hs,Junio,152
17,1249,Que mierda la vacuna de covid ni mierdas me la voy a poner y eso q soy paciente de riesgo,2021-06-30,0,0,0,0,Twitter for Android, 03hs,Junio,89
608,708,"🔺🔻RECORDAMOS QUE NI EL GOBIERNO DE LA NACION ARGENTINA NI  COBRAN APORTE ALGUNO POR INOCULACION DE LA VACUNA DEL COVID-19🔺🔻ES DE APLICACIÓN GRATUITA EN TODO EL TERRITORIO NACIONAL Y PROVINCIAL🔺🔻NO SOLICITA  CLAVES, CONTRASEÑAS BANCARIAS NI PERSONALES ⬇️",2021-06-30,5,1,8,0,Twitter for iPhone, 01hs,Junio,253
1097,20061,"Tanto amor no cabe en una imagen, o si??.. vacuna vaccinationdone✔️ vacunate covid_19 love buenosairesargentina en Ciudad Autónoma de Buenos Aires",2021-06-30,0,0,0,0,Instagram, 01hs,Junio,146
5797,10415,Un nuevo vuelo llego esta noche con  709.085 dosis de la vacuna Sputnik del componente 1 y 2  contra el Covid. Nuestro gobierno sigue reforzando el plan de vacunación que se desarrolla en todo el país y cuidarnos hace el resto para combatir el virus,2021-06-30,1,0,15,0,Twitter for Android, 00hs,Junio,249
567,71415,Dicen que la vacuna de covid es segura durante el embarazo..... Yo tengo mis dudas 🤔,2021-06-30,0,1,0,0,Twitter for Android, 00hs,Junio,84
57,1400,"Recibi la vacuna contra Covid_19  y no te debo nada  porque si estudiaste leyes, sabrás que trabajas para el ciudadano y con la plata de mis impuestos obtuve lo que me correspondía. AHORA",2021-06-29,0,0,0,0,Twitter for Android, 23hs,Junio,187
188,2329,Y llegó el dia esperado vacuna contra el covid_19 en la  exelente atención y muy rápido gracias a todos los que lo hacen posible y al personal del  usina del arte  salud bsas argentina🇦🇷,2021-06-29,0,2,2,0,Instagram, 19hs,Junio,186
1,80,"Felicitaciones, es el mejor programa de tv de salud. Pueden volver a explicar qué son los anticuerpos, clases que se obtienen después de aplicar la vacuna Covid y como se sabe que el cuerpo género anticuerpos. Gracias por su respuesta",2021-06-29,0,0,0,0,Twitter for Android, 18hs,Junio,234
586,857,🙌💻 💉🏠 Ayudamos a inscribir a los vecin barrio por barrio para la vacuna Covid y ahora repartimos los turnos de las segundas dosis casa por casa. Seguimos haciéndolo entre tod. Nos vemos en VillaAllende!,2021-06-29,0,0,5,0,Twitter for Android, 18hs,Junio,202
491,48317,HOMENAJE A LA CIENTIFICA QUE  DISEÑÓ LA VACUNA OXFORD CONTRA EL COVID 19 EN WIMBLEDON 👍👌👏🤗,2021-06-29,0,0,0,0,Twitter for Android, 17hs,Junio,90
7820,94698,Vacunación COVID CABA: cuáles serán los plazos en los que aplicarán las segundas dosis | vía,2021-06-29,0,0,1,0,Twitter for Android, 17hs,Junio,92
1208,88608,"[PREJUICIOS] Aunque no se pueda creer, todavía hay gente que no quiere aplicarse la vacuna anti Covid_19 por prejuicios. Entre las ""variadas"" excusas que ponen, algunos dicen que es ""una maniobra política"" 😳 Creer o reventar!",2021-06-29,0,0,0,0,Twitter for Android, 17hs,Junio,225
773,25151,Qué felicidad me da saber que pronto voy a recibir la vacuna para el covid. 🤩🥳,2021-06-29,0,0,4,0,Twitter for iPhone, 16hs,Junio,78
14518,7813,"Nos mueve la emoción y la alegría de nuestra comunidad al recibir su vacuna contra el Covid-19. 💉En Morón, más de la mitad de las y los vecinos ya cuenta con, al menos, su primera dosis.👏🏽Sigamos poniendo el hombro. 💪🏽🇦🇷¡Cada vez más cerca de disfrutar lo que más queremos!",2021-06-29,7,0,27,0,Twitter for Android, 15hs,Junio,273
84,1950,"Que felicidad 😍Vacuna contra el Covid disponible para nosotros, los de 25 a 30 años. A partir de la medianoche 💪💪",2021-06-29,0,0,3,0,Twitter for Android, 15hs,Junio,113
1695,33569,Hoy mi viejito recibió la 1 dosis de la vacuna contra el covid♥️.,2021-06-29,0,0,6,0,Twitter for Android, 15hs,Junio,65
160,416,Con 42 años me empadroné y hoy me tocó vacunarme con la primera dosis de la vacuna contra el COVID-19 en el clubitaliano en Caballito. en Club Italiano,2021-06-29,0,1,3,0,Instagram, 14hs,Junio,151
160,2769,"NOS TOCA! 🤩😍 Se encuentran abiertas las inscripciones para recibir la vacuna contra el covid-19. 🙌🏻 Ingresá a la página del Ministerio de Salud de nuestra Provincia y apreta donde dice ""Registro de voluntad vacuna covid-19 "" e inscribite. 👉🏼",2021-06-29,0,0,0,0,Twitter for Android, 13hs,Junio,241
1012,120331,"La vacuna no te inmunizaba contra el Covid, solamente te aliviana los síntomas. Saludos.",2021-06-29,0,0,6,0,Twitter for iPhone, 12hs,Junio,88
32,477,Mariano Cardarelli tuve covid y gracias a una dosis de sinopham la pase no tan mal.. aguante la vacuna China!!! Jaja,2021-06-29,0,0,0,0,Twitter for Android, 11hs,Junio,116
2780,14296,"25085324  _me   Ay que alegría que apsreciste sanguijuela imbécil. Crees que estás hablando con una burra como vos?? NO, LPQTP!Sinopharm ponésela a tu hija/o para que el Covid se muera risa. KK no te atrevas con mis muertos vacunados con Sinopharm y/o con 1 dosis de Sputnik.ASESIN KRÁPULAS!",2021-06-29,0,1,0,0,Twitter for Android, 02hs,Junio,291
425,3113,"Si Pau, acá haciéndole ole al covid hasta que me llegue la vacuna. Pero todo muy bien. Vos?",2021-06-28,0,1,1,0,Twitter for iPhone, 23hs,Junio,91
13926,38200,"No es extraño que estemos rondando los 100 mil muertos y que nadie del gobierno haya sido víctima del COVID, esto prueba que la vacuna es eficiente porque ellos se vacunaron todos con las dos dosis (creo que con la Pfizer no?) perdon si me equivoco",2021-06-28,2,2,5,0,Twitter for iPhone, 22hs,Junio,248
491667,68277,"Hoy me tocó recibir la primera dosis de la vacuna contra el covid por ser +40. Elegí hacerlo, esta tarde, en Boca. A todo el personal que trabaja allí, mil gracias por la atención.",2021-06-28,10,17,505,1,Twitter for iPhone, 22hs,Junio,180
8814,54375,⚠️ IMPORTANTECIUDADPlan de Vacunación COVID-19 para personas mayores de 40 años👉  Formulario de empadronamiento para la aplicación de la primera dosis de la vacuna contra el COVID-19 de personas de más de 40 años👉,2021-06-28,0,0,0,0,Twitter for Android, 18hs,Junio,213
753,13947,"Hoy me llegó la vacuna contra el COVID-19 💉. Agradezco a todo el personal de salud de Laboulaye por la excelente atención 💪🏻👩🏼‍⚕️👨🏻‍⚕️🏥. Vacunado Covid19 Laboulaye  Laboulaye, Cordoba",2021-06-28,0,0,1,0,Instagram, 18hs,Junio,183
8814,54375,🇦🇷 MINISTERIO DE SALUDLlegan hoy y mañana más de un millón de vacunas a todo el país y el total de dosis distribuidas se acerca a los 25 millones se interiorizó sobre los avances de una vacuna nacional contra la COVID-19,2021-06-28,1,0,1,0,Twitter for Android, 18hs,Junio,220
